# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
-9.997364513332190894e-01,2.562336093626449082e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.958862926809488592e-01,7.749378117192987081e-02,1.557433637508816582e-01,1.552946831130058436e-01,9.000000000000000000e+01
-9.846532131435824509e-01,1.153467966496059122e-01,1.566418442174733472e-01,1.554132241631406841e-01,9.000000000000000000e+01
-9.663004020788421577e-01,1.336996074561439818e-01,1.558636982310425412e-01,1.551783599773125799e-01,9.000000000000000000e+01
