# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
-6.147460230349001131e-01,-6.987316908268420557e-02,4.895303872079852063e-03,4.895303872079852063e-03,0.000000000000000000e+00
-3.703402169704501090e-01,6.715533092026664160e-03,1.550974904036024338e-01,1.550264678726598067e-01,0.000000000000000000e+00
8.109460106480020913e-02,2.169667879595433280e-01,1.556775338858890079e-01,1.553691439988818535e-01,9.000000000000000000e+01
1.030220469658040851e-02,-9.518750306686690754e-02,1.573426298455920802e-01,1.554797028534232739e-01,9.000000000000000000e+01
