# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
-9.969614446330200552e-01,1.179796865200258803e-02,1.086975814263946754e-15,0.000000000000000000e+00,0.000000000000000000e+00
-1.957389230186551643e+00,3.814799021468282675e-02,2.346966577378518382e-01,2.286627591595945252e-01,0.000000000000000000e+00
-3.803566305427108496e+00,1.189784799942074089e-01,5.229169110394488174e-01,5.099784273210777874e-01,0.000000000000000000e+00
-7.329714005966835977e+00,2.711298148279452369e-01,1.079158056516202668e+00,1.050396213102295251e+00,0.000000000000000000e+00
-1.401770716268359251e+01,5.683216576681769938e-01,2.184520652547321529e+00,2.124670890532171619e+00,0.000000000000000000e+00
-2.652427019156943899e+01,1.155173721297254374e+00,4.405626443803297043e+00,4.277339314317333496e+00,0.000000000000000000e+00
