# x_linear-horizon,y_linear-horizon
-9.994280710258658385e-01,2.508220442463082733e-02
-9.929479884060929962e-01,7.353795018592834687e-02
-9.716457295278961848e-01,1.219800140516926756e-01
-9.298157448728721075e-01,1.701842551271279813e-01
-8.666439674538410909e-01,2.189102307071011388e-01
-7.828103312268848146e-01,2.615750149715583284e-01
