# x_gpmpc,y_gpmpc
-1.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,6.328922829078401091e-02
-1.000000000000000000e+00,2.471741424492727435e-01
-9.802241492197110162e-01,4.941991746115417250e-01
-9.206643923290507292e-01,6.534307756529696976e-01
-8.596179829746943835e-01,7.237294685522912552e-01
-8.066743095022015364e-01,6.826025088214658920e-01
-7.457598223387622571e-01,5.618358448118216941e-01
-6.861599860832597875e-01,3.221365787414785520e-01
-6.433463943932064000e-01,9.082310636403927509e-03
-5.293163224511652221e-01,-4.391400135555659917e-02
