# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
-9.998709315114800988e-01,1.812911279581661678e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.976270535872600043e-01,7.085501278152912807e-02,1.250022190685101544e-14,9.511038606795824773e-16,0.000000000000000000e+00
-9.903677439835570917e-01,1.577723449058372196e-01,1.032626942852169968e-14,2.989183939548166378e-15,0.000000000000000000e+00
-9.759653041887338398e-01,2.349629353129509546e-01,9.782779716498364802e-15,2.853312816964933495e-15,0.000000000000000000e+00
