# x_gpmpc,y_gpmpc
-1.000000000000000000e+00,0.000000000000000000e+00
-9.997449187266865822e-01,2.563806284664553112e-02
-9.970020538346479055e-01,7.877000918126086937e-02
-9.913176313181949473e-01,1.087233043331305993e-01
-9.805068360691219231e-01,1.169216959890829882e-01
-9.626241253285479083e-01,1.375566434452379638e-01
-9.380822942202394765e-01,1.621643102899078537e-01
-9.026829208457805009e-01,1.760714686676466689e-01
-8.552913484635557007e-01,2.091085158981410008e-01
-8.001792647121842572e-01,2.871002134866619260e-01
-7.408394893723064811e-01,3.601970437989855944e-01
