# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
-9.997449187266865822e-01,2.563806284664553112e-02,3.375356529028489396e-14,8.592794808148890226e-15,0.000000000000000000e+00
-9.967498868264536016e-01,7.959117369676833864e-02,1.568405286495636042e-01,1.562344946270174673e-01,0.000000000000000000e+00
-9.840863314814208840e-01,1.159136783273007065e-01,1.574859831870980553e-01,1.571987734492865940e-01,0.000000000000000000e+00
-9.622555245351204212e-01,1.377444850045833891e-01,1.622083813885974724e-01,1.579030213231933932e-01,9.000000000000000000e+01
