# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
-1.695512373419186813e-01,8.737248246937361351e-01,4.895303872079852063e-03,4.895303872079852063e-03,0.000000000000000000e+00
-1.910164251158356641e-01,8.685784469572983557e-01,2.823394183175316485e-02,2.818008888799355266e-02,9.000000000000000000e+01
-1.942615487575118927e-01,8.626338743670518561e-01,3.959601321341234964e-02,3.932202499182178151e-02,9.000000000000012790e+01
-1.797492200053679434e-01,8.693196797472273474e-01,4.804780391398213307e-02,4.423167052582894360e-02,-1.614636279263552314e-13
-1.447271626563680913e-01,8.775641879863744776e-01,5.574076126196795405e-02,4.618232757628887991e-02,-7.782705295874311919e-14
